codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0029035200,0027,2018-06-19T22:00:00.000,98,REPELON - AUT,ATLANTICO,REPELÓN,BAJO MAGDALENA,10.49,-75.12694444,Humedad del aire 2 mt,%
0021206810,0027,2015-04-21T07:50:00.000,60.3,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Humedad del aire 2 mt,%
0021206780,0027,2013-12-02T17:50:00.000,84.1,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Humedad del aire 2 mt,%
0029065120,0027,2009-01-08T08:00:00.000,0,BATALLON NO. 6 - AUT,MAGDALENA,FUNDACIÓN,BAJO MAGDALENA,10.46536111,-73.92777778,Humedad del aire 2 mt,%
0016015120,0027,2014-07-06T11:00:00.000,49,UNIVERSIDAD DE PAMPLONA  - AUT,NORTE DE SANTANDER,PAMPLONA,CATATUMBO,7.360944444,-72.66605556,Humedad del aire 2 mt,%
0021197430,0027,2010-07-18T06:00:00.000,98,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGÁ,ALTO MAGDALENA,4.367,-74.3,Humedad del aire 2 mt,%
0021202240,0027,2013-12-16T12:35:00.000,84.65,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.05,Humedad del aire 2 mt,%
0021206990,0027,2006-12-31T13:00:00.000,67,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691416667,-74.209,Humedad del aire 2 mt,%
0035025080,0027,2009-08-07T22:00:00.000,100,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Humedad del aire 2 mt,%
0028035060,0027,2007-02-05T16:00:00.000,33,FEDEARROZ - AUT,CESAR,VALLEDUPAR,CESAR,10.46361111,-73.24805556,Humedad del aire 2 mt,%
0014015020,0027,2017-08-18T23:00:00.000,89,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Humedad del aire 2 mt,%
0026135501,0027,2018-08-14T08:45:00.000,96.68694,EL PILAMO  - AUT,RISARALDA,PEREIRA,CAUCA,4.868333333,-75.79333333,Humedad del aire 2 mt,%
0035025090,0027,2014-08-16T10:00:00.000,100,BOSQUE INTERVENIDO  - AUT,CUNDINAMARCA,LA CALERA,META,4.664888889,-73.84663889,Humedad del aire 2 mt,%
0035025080,0027,2011-06-21T08:00:00.000,89,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Humedad del aire 2 mt,%
0021202220,0027,2014-05-13T17:20:00.000,56.96,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Humedad del aire 2 mt,%
0015075501,0027,2016-01-01T16:00:00.000,57,AEROPUERTO PUERTO BOLIVAR  - AUT,LA GUAJIRA,URIBIA,CARIBE - GUAJIRA,12.22430556,-71.98288889,Humedad del aire 2 mt,%
0026145504,0027,2019-07-06T06:15:00.000,80.23544,OSPIRMA  - AUT,RISARALDA,GUÁTICA,CAUCA,5.325552778,-75.812775,Humedad del aire 2 mt,%
0021201200,0027,2014-12-04T15:25:00.000,85.59,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.343,-74.184,Humedad del aire 2 mt,%
0028045501,0027,2017-06-18T00:10:00.000,99.9409,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Humedad del aire 2 mt,%
0021206940,0027,2011-09-17T10:00:00.000,53,CIUDAD BOLIVAR,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.577,-74.177,Humedad del aire 2 mt,%
0026125300,0027,2015-05-09T04:00:00.000,67,CALARCA - AUT,QUINDÍO,CALARCÁ,CAUCA,4.528305556,-75.59638889,Humedad del aire 2 mt,%
0021205523,0027,2019-04-14T19:40:00.000,98.819,UNIVERSIDAD SANTO TOMÁS  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.788,-74.05,Humedad del aire 2 mt,%
0023065506,0027,2019-02-23T03:20:00.000,91.998,BELLAVISTA  - AUT,CUNDINAMARCA,FACATATIVÁ,ALTO MAGDALENA,4.861,-74.405,Humedad del aire 2 mt,%
0026115090,0027,2007-10-19T05:00:00.000,100,LAS BRISAS - AUT,VALLE DEL CAUCA,ANSERMANUEVO,SAN JUÁN,4.775583333,-76.14427778,Humedad del aire 2 mt,%
0026115501,0027,2017-11-07T15:00:00.000,61.3672,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Humedad del aire 2 mt,%
0026015010,0027,2007-04-09T16:00:00.000,67,EL TABLAZO - AUT,CAUCA,POPAYÁN,CAUCA,2.474833056,-76.58129361,Humedad del aire 2 mt,%
0026125505,0027,2018-03-31T05:35:00.000,99.9679,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Humedad del aire 2 mt,%
0012015100,0027,2013-01-31T13:00:00.000,0,PISTA INDIRA - AUT,ANTIOQUIA,TURBO,CARIBE - LITORAL,7.94075,-76.69616667,Humedad del aire 2 mt,%
0023085270,0027,2017-05-30T11:00:00.000,62,APTO J.M CORDOVA TX GPRS,ANTIOQUIA,RIONEGRO,MEDIO MAGDALENA,6.169,-75.426,Humedad del aire 2 mt,%
0026085160,0027,2016-10-06T08:00:00.000,79,SILOE - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,Humedad del aire 2 mt,%
2120000106,0027,2019-04-15T13:01:00.000,81.1,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Humedad del aire 2 mt,%
0026175501,0027,2016-09-23T23:15:00.000,72,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Humedad del aire 2 mt,%
0021205791,0027,2016-06-28T02:00:00.000,74,APTO EL DORADO - TX GPRS,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.706,-74.151,Humedad del aire 2 mt,%
0021208480,0027,2014-09-13T09:25:00.000,58.3,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.15,Humedad del aire 2 mt,%
0021202250,0027,2013-07-04T02:50:00.000,80.4,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.5,-74.133,Humedad del aire 2 mt,%
0026145507,0027,2019-05-29T23:20:00.000,84.66564,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Humedad del aire 2 mt,%
0052055502,0027,2018-04-19T10:30:00.000,67.9535,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Humedad del aire 2 mt,%
0044015501,0027,2019-03-26T22:40:00.000,86.8,MOCOA  - AUT,PUTUMAYO,MOCOA,CAQUETÁ,1.084997222,-76.70763889,Humedad del aire 2 mt,%
0026115501,0027,2019-07-14T04:45:00.000,88.89748,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Humedad del aire 2 mt,%
0026175501,0027,2017-03-14T10:25:00.000,73,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Humedad del aire 2 mt,%
2120000105,0027,2019-06-26T12:46:00.000,55.14,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Humedad del aire 2 mt,%
0021202200,0027,2012-10-30T23:00:00.000,86.2,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Humedad del aire 2 mt,%
0016015502,0027,2016-06-11T11:05:00.000,40,BLONAY  - AUT,NORTE DE SANTANDER,CHINÁCOTA,CATATUMBO,7.564997222,-72.62110833,Humedad del aire 2 mt,%
0035025080,0027,2016-02-28T11:00:00.000,82,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Humedad del aire 2 mt,%
0027015290,0027,2006-03-14T10:00:00.000,61,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Humedad del aire 2 mt,%
0021202230,0027,2015-12-19T01:00:00.000,82.4,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Humedad del aire 2 mt,%
0023125170,0027,2015-12-09T05:00:00.000,92,SAN CAYETANO - AUT,CUNDINAMARCA,SAN CAYETANO,MEDIO MAGDALENA,5.333333333,-74.016666667,Humedad del aire 2 mt,%
0023195501,0027,2016-08-30T16:40:00.000,71,SAN ANTONIO  - AUT,SANTANDER,FLORIDABLANCA,MEDIO MAGDALENA,7.099441667,-73.06638611,Humedad del aire 2 mt,%
0021015050,0027,2008-02-22T01:00:00.000,95,PURACE  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.925916667,-76.42755556,Humedad del aire 2 mt,%
0052055502,0027,2019-01-18T01:50:00.000,77.56437,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Humedad del aire 2 mt,%
